Symbol,PositiveFreq,NegativeFreq,PosProb
AAA,19.0,66.0,0.2235294117647059
AAB,6.0,108.0,0.05263157894736842
AAC,7.0,72.0,0.08860759493670886
AAD,29.0,38.0,0.4328358208955224
AAE,13.0,12.0,0.52
AAF,6.0,42.0,0.125
AAG,5.0,12.0,0.29411764705882354
AAH,114.0,67.0,0.6298342541436464
ABA,7.0,5.0,0.5833333333333334
ABB,4.0,18.0,0.18181818181818185
ABC,6.0,17.0,0.2608695652173913
ABD,14.0,12.0,0.5384615384615384
ABE,2.0,18.0,0.1
ABF,0.0,34.0,0.0
ABG,1.0,11.0,0.08333333333333333
ABH,9.0,9.0,0.5
ACA,28.0,60.0,0.3181818181818182
ACB,15.0,59.0,0.20270270270270271
ACC,60.0,37.0,0.6185567010309279
ACD,59.0,93.0,0.3881578947368421
ACE,15.0,90.0,0.14285714285714285
ACF,4.0,66.0,0.057142857142857134
ACG,0.0,20.0,0.0
ACH,22.0,41.0,0.3492063492063492
ADA,103.0,344.0,0.23042505592841164
ADB,170.0,422.0,0.28716216216216217
ADC,111.0,215.0,0.34049079754601225
ADD,120.0,1128.0,0.09615384615384616
ADE,12.0,699.0,0.016877637130801686
ADF,12.0,180.0,0.0625
ADG,10.0,116.0,0.07936507936507936
ADH,173.0,94.0,0.6479400749063671
AEA,802.0,328.0,0.7097345132743362
AEB,326.0,407.0,0.4447476125511596
AEC,369.0,932.0,0.2836279784780938
AED,477.0,2163.0,0.1806818181818182
AEE,16.0,1306.0,0.01210287443267776
AEF,25.0,313.0,0.07396449704142012
AEG,118.0,219.0,0.35014836795252224
AEH,308.0,216.0,0.5877862595419847
AFA,153.0,762.0,0.16721311475409836
AFB,256.0,678.0,0.2740899357601713
AFC,738.0,1135.0,0.3940202883075281
AFD,930.0,1730.0,0.34962406015037595
AFE,94.0,878.0,0.09670781893004116
AFF,78.0,602.0,0.11470588235294114
AFG,318.0,699.0,0.3126843657817109
AFH,383.0,256.0,0.5993740219092332
BAA,14.0,91.0,0.13333333333333333
BAB,40.0,230.0,0.14814814814814814
BAC,8.0,292.0,0.02666666666666667
BAD,94.0,260.0,0.2655367231638418
BAE,214.0,52.0,0.8045112781954887
BAF,32.0,67.0,0.3232323232323233
BAG,5.0,31.0,0.1388888888888889
BAH,84.0,76.0,0.525
BBA,11.0,45.0,0.19642857142857145
BBB,36.0,136.0,0.20930232558139536
BBC,10.0,95.0,0.09523809523809523
BBD,37.0,176.0,0.17370892018779344
BBE,17.0,52.0,0.2463768115942029
BBF,4.0,95.0,0.040404040404040414
BBG,11.0,20.0,0.3548387096774194
BBH,10.0,76.0,0.11627906976744184
BCA,20.0,361.0,0.052493438320209966
BCB,17.0,491.0,0.03346456692913386
BCC,50.0,422.0,0.1059322033898305
BCD,54.0,474.0,0.10227272727272728
BCE,27.0,220.0,0.10931174089068826
BCF,10.0,306.0,0.03164556962025317
BCG,7.0,82.0,0.07865168539325842
BCH,17.0,177.0,0.08762886597938144
BDA,66.0,1098.0,0.05670103092783505
BDB,147.0,1976.0,0.06924163918982572
BDC,95.0,1396.0,0.06371562709590879
BDD,135.0,2451.0,0.052204176334106726
BDE,38.0,1894.0,0.019668737060041408
BDF,23.0,1230.0,0.01835594573024741
BDG,25.0,492.0,0.0483558994197292
BDH,49.0,365.0,0.11835748792270533
BEA,204.0,1206.0,0.14468085106382975
BEB,389.0,2628.0,0.12893602916804772
BEC,208.0,3841.0,0.05137070881699185
BED,195.0,4354.0,0.04286656408001759
BEE,80.0,2473.0,0.03133568350959656
BEF,27.0,1455.0,0.01821862348178137
BEG,22.0,744.0,0.028720626631853787
BEH,71.0,654.0,0.09793103448275862
BFA,18.0,4209.0,0.0042583392476934
BFB,83.0,3700.0,0.021940259053661114
BFC,175.0,4495.0,0.03747323340471092
BFD,229.0,3551.0,0.06058201058201058
BFE,91.0,1823.0,0.04754440961337513
BFF,72.0,2210.0,0.031551270815074486
BFG,131.0,1440.0,0.08338637810311904
BFH,94.0,632.0,0.12947658402203854
CAA,7.0,278.0,0.02456140350877193
CAB,63.0,660.0,0.08713692946058091
CAC,67.0,1065.0,0.05918727915194346
CAD,415.0,843.0,0.3298887122416534
CAE,269.0,174.0,0.6072234762979684
CAF,49.0,173.0,0.22072072072072071
CAG,8.0,95.0,0.07766990291262135
CAH,212.0,167.0,0.5593667546174143
CBA,11.0,255.0,0.04135338345864661
CBB,28.0,470.0,0.056224899598393566
CBC,61.0,515.0,0.10590277777777778
CBD,96.0,635.0,0.13132694938440492
CBE,23.0,207.0,0.1
CBF,10.0,138.0,0.06756756756756757
CBG,8.0,73.0,0.09876543209876544
CBH,14.0,169.0,0.07650273224043716
CCA,27.0,1036.0,0.02539981185324553
CCB,40.0,1990.0,0.019704433497536943
CCC,47.0,1742.0,0.026271660145332592
CCD,101.0,1515.0,0.0625
CCE,57.0,899.0,0.0596234309623431
CCF,64.0,602.0,0.0960960960960961
CCG,65.0,380.0,0.14606741573033707
CCH,82.0,253.0,0.2447761194029851
CDA,75.0,2165.0,0.033482142857142856
CDB,145.0,5168.0,0.027291549030679464
CDC,79.0,5423.0,0.0143584151217739
CDD,155.0,5352.0,0.02814599600508444
CDE,87.0,3385.0,0.025057603686635944
CDF,146.0,2565.0,0.05385466617484323
CDG,75.0,994.0,0.07015902712815715
CDH,40.0,717.0,0.05284015852047557
CEA,79.0,3280.0,0.023518904435843997
CEB,355.0,6307.0,0.053287301110777535
CEC,100.0,8752.0,0.011296882060551287
CED,112.0,7949.0,0.013894057809204814
CEE,70.0,4506.0,0.015297202797202796
CEF,88.0,2460.0,0.03453689167974882
CEG,48.0,1021.0,0.044901777362020584
CEH,47.0,1787.0,0.025627044711014176
CFA,22.0,4444.0,0.0049261083743842365
CFB,46.0,5217.0,0.008740262207866237
CFC,122.0,6703.0,0.017875457875457874
CFD,137.0,7291.0,0.018443726440495425
CFE,112.0,3177.0,0.034052903618121015
CFF,48.0,2281.0,0.020609703735508803
CFG,140.0,1981.0,0.06600660066006599
CFH,44.0,1517.0,0.028187059577194105
DAA,4.0,247.0,0.01593625498007968
DAB,180.0,630.0,0.2222222222222222
DAC,143.0,1256.0,0.10221586847748393
DAD,653.0,1402.0,0.3177615571776156
DAE,533.0,504.0,0.5139826422372228
DAF,107.0,292.0,0.2681704260651629
DAG,40.0,214.0,0.15748031496062992
DAH,147.0,184.0,0.4441087613293052
DBA,4.0,250.0,0.015748031496062992
DBB,120.0,782.0,0.13303769401330376
DBC,63.0,678.0,0.08502024291497975
DBD,136.0,845.0,0.13863404689092762
DBE,107.0,424.0,0.2015065913370998
DBF,72.0,263.0,0.2149253731343284
DBG,56.0,158.0,0.2616822429906542
DBH,29.0,181.0,0.1380952380952381
DCA,29.0,1469.0,0.019359145527369826
DCB,100.0,3388.0,0.028669724770642207
DCC,138.0,2551.0,0.051320193380438826
DCD,266.0,2149.0,0.11014492753623188
DCE,219.0,1575.0,0.12207357859531773
DCF,181.0,1036.0,0.14872637633525065
DCG,207.0,629.0,0.24760765550239236
DCH,133.0,482.0,0.216260162601626
DDA,33.0,2312.0,0.014072494669509595
DDB,111.0,5268.0,0.02063580591187953
DDC,237.0,7293.0,0.031474103585657366
DDD,455.0,6706.0,0.0635386119257087
DDE,401.0,5188.0,0.07174807657899446
DDF,445.0,3521.0,0.11220373171961674
DDG,332.0,1386.0,0.19324796274738068
DDH,176.0,1682.0,0.09472551130247578
DEA,17.0,2636.0,0.006407840180927252
DEB,247.0,5225.0,0.04513888888888889
DEC,263.0,10227.0,0.02507149666348904
DED,291.0,9068.0,0.031093065498450687
DEE,355.0,6206.0,0.05410760554793476
DEF,322.0,3807.0,0.07798498425768953
DEG,305.0,1496.0,0.1693503609106052
DEH,162.0,2283.0,0.06625766871165645
DFA,8.0,2336.0,0.0034129692832764505
DFB,56.0,3438.0,0.01602747567258157
DFC,215.0,6136.0,0.03385293654542592
DFD,294.0,8236.0,0.03446658851113716
DFE,312.0,5113.0,0.05751152073732719
DFF,306.0,3454.0,0.08138297872340426
DFG,235.0,1897.0,0.1102251407129456
DFH,69.0,1878.0,0.03543913713405239
EAA,11.0,92.0,0.10679611650485436
EAB,182.0,285.0,0.3897216274089936
EAC,100.0,699.0,0.1251564455569462
EAD,418.0,970.0,0.3011527377521614
EAE,677.0,584.0,0.5368754956383822
EAF,223.0,346.0,0.39191564147627417
EAG,157.0,212.0,0.4254742547425474
EAH,157.0,209.0,0.42896174863387976
EBA,8.0,102.0,0.07272727272727272
EBB,110.0,432.0,0.2029520295202952
EBC,179.0,593.0,0.2318652849740933
EBD,187.0,484.0,0.2786885245901639
EBE,221.0,474.0,0.31798561151079136
EBF,178.0,298.0,0.3739495798319328
EBG,161.0,156.0,0.5078864353312302
EBH,81.0,211.0,0.2773972602739726
ECA,53.0,644.0,0.07604017216642754
ECB,291.0,2438.0,0.10663246610480027
ECC,459.0,1538.0,0.2298447671507261
ECD,652.0,1226.0,0.34717784877529284
ECE,527.0,1135.0,0.3170878459687124
ECF,594.0,1042.0,0.36308068459657705
ECG,534.0,565.0,0.4858962693357598
ECH,256.0,583.0,0.30512514898688914
EDA,98.0,1361.0,0.06716929403701165
EDB,306.0,3215.0,0.08690712865663164
EDC,750.0,4555.0,0.1413760603204524
EDD,1192.0,3520.0,0.2529711375212224
EDE,1167.0,3270.0,0.2630155510480054
EDF,1638.0,2847.0,0.3652173913043478
EDG,860.0,1465.0,0.3698924731182796
EDH,424.0,1140.0,0.2710997442455243
EEA,25.0,951.0,0.025614754098360656
EEB,465.0,3364.0,0.12144162966832073
EEC,995.0,5155.0,0.16178861788617885
EED,1034.0,5374.0,0.16136079900124844
EEE,1115.0,3792.0,0.2272264112492358
EEF,1597.0,3109.0,0.33935401614959626
EEG,1068.0,1902.0,0.3595959595959596
EEH,448.0,1387.0,0.24414168937329697
EFA,14.0,309.0,0.043343653250774
EFB,204.0,2064.0,0.08994708994708994
EFC,643.0,3500.0,0.15520154477431813
EFD,1163.0,5224.0,0.18208861750430566
EFE,1210.0,3659.0,0.2485109878825221
EFF,1457.0,2755.0,0.34591642924976257
EFG,720.0,1619.0,0.30782385634886705
EFH,152.0,1577.0,0.08791208791208792
FAA,16.0,10.0,0.6153846153846154
FAB,215.0,68.0,0.7597173144876325
FAC,128.0,166.0,0.4353741496598639
FAD,429.0,266.0,0.6172661870503597
FAE,691.0,200.0,0.7755331088664422
FAF,447.0,250.0,0.6413199426111909
FAG,233.0,147.0,0.6131578947368421
FAH,184.0,150.0,0.5508982035928144
FBA,8.0,30.0,0.21052631578947367
FBB,105.0,108.0,0.4929577464788733
FBC,328.0,217.0,0.6018348623853211
FBD,254.0,177.0,0.5893271461716937
FBE,366.0,121.0,0.7515400410677618
FBF,319.0,188.0,0.6291913214990138
FBG,332.0,98.0,0.772093023255814
FBH,121.0,162.0,0.4275618374558304
